band_abbrev,band_copied,date_right_after_band,notes_copied
collins-sefton-sheehey,"""Collins, Sefton, & Sheehey""",,""""""
colmar,"""unknown""",,""""""
colour haze,"""Colour Haze""",,""""""
colourflow,"""Colour Flow""",,""""""
colter wall,"""Colter Wall""",,""""""
commandercody,"""Commander Cody""",,""""""
common kings,"""Common Kings""",,""""""
commonkings,"""Common Kings""",,""""""
comsat angels,"""The Comsat Angels""",,""""""
conbrio,"""Con Brio""",,""""""
conor oberst,"""Connor Oberst""",,""""""
conor oberts,"""Connor Oberst""",,""""""
conor_oberst,"""Connor Oberst""",,""""""
consciouspilot,"""Conscious Pilot""",,""""""
considerthesource,"""Consider the Source""",,""""""
cook,"""unknown""",,""""""
cop killer,"""Copkiller""",,""""""
copperhead,"""Copperhead""",,""""""
cordovas,"""Cordovas""",,""""""
corea gadd,"""Chick Corea & Steve Gadd""",,""""""
coreagadd,"""Chick Corea & Steve Gadd""",,""""""
corey,"""Giles Corey""",,""""""
corgan,"""Billy Corgan""",,""""""
cosmicdead,"""The Cosmic Dead""",,""""""
cotw_pe,"""Citizen of the World""",FALSE,""""""
country joe & electric music band,"""Country Joe & Electric Music Band""",,""""""
countryboys,"""Country Boys""",,""""""
court and sparks band,"""Court & Sparks Band""",,""""""
courtney barnett & kurt vile,"""Courtney Barnett & Kurt Vile""",,""""""
coy,"""Coy""",,""""""
cradleoffilth,"""Cradle of Filth""",,""""""
cranberries,"""The Cranberries""",,""""""
crash test dummies,"""Crash Test Dummies""",,""""""
crashtestdummies,"""Crash Test Dummies""",,""""""
crawl,"""Crawl""",,""""""
crb,"""Chris Robinson Brotherhood""",,""""""
cream_psychedelic_circus,"""Cream""",FALSE,""""""
credenceclearwaterrevisited,"""Creedence Clearwater Revisited""",,""""""
creeps,"""The Creeps""",,""""""
crippledblackphoenix,"""Crippled Black Phoenix""",,""""""
crippledblackphoenixffm,"""Crippled Black Phoenix""",FALSE,""""""
cris,"""Cris Jacobs""",,""""""
crisjacobs,"""Cris Jacobs""",,""""""
crobinson,"""Chris Robinson""",,""""""
crosa rosa,"""Crosa Rosa""",,""""""
"crosby, pevar, and raymond","""Crosby, Pevar, & Raymond""",,""""""
crosscurrents,"""Crosscurrents""",,""""""
crossingmuddywaters,"""Crossing Muddy Waters""",,""""""
crowded house,"""Crowded House""",,""""""
croydon,"""unknown""",,""""""
crycrycry,"""Cry Cry Cry""",,""""""
crycrycrywks,"""Cry Cry Cry""",FALSE,""""""
cryptical,"""Crypitcal""",,""""""
cs,"""Crosby & Stills""",,""""""
csn,"""Crosby, Stills, & Nash""",,""""""
csny,"""Crosby, Stills, Nash, & Young""",,""""""
cspedding,"""Chris Spedding""",,""""""
ctd,"""Crash Test Dummies""",,""""""
ctr,"""Crank the Radio""",,""""""
cue,"""Cue""",,""""""
cult,"""The Cult""",,""""""
cult of luna with julie christmas,"""Cult of Luna with Julie Christmas""",,""""""
cultureclub,"""Culture Club""",,""""""
cure,"""The Cure""",,""""""
curtis harding,"""Chris Harding""",,""""""
curved air,"""Curved Air""",,""""""
custardpies,"""Custard Pie""",,""""""
cville,"""unknown""",,""""""
cycles,"""Cycles""",,""""""
cyndi lauper,"""Cyndi Lauper""",,""""""
czukay holger,"""Holger Czukay""",,""""""
d perez - j patitucci - t l carrington,"""Perez, Patitucci, & Carrington""",,""""""
d-a-d,"""D.A.D.""",,""""""
da,"""unknown""",,""""""
dac,"""Da Captain Trips""",,""""""
dacaptaintrips,"""Da Captain Trips""",,""""""
damian marley,"""Damian Marley""",,""""""
damianwilson,"""Damian Wilson""",,""""""
damianwilsonffm,"""Damian Wilson""",FALSE,""""""
damnationsday,"""Damnations Day""",,""""""
damosuzuki,"""Damo Suzuki""",,""""""
dan,"""The Dan Band""",,""""""
dan hicks & hot licks,"""Dan Hicks & Hot Licks""",,""""""
dan reed network,"""Dan Reed Network""",,""""""
danakil,"""Danakil""",,""""""
danbaird,"""Dan Baird""",,""""""
danbairdshomemadesin,"""Dan Baird's Homemade Sin""",,""""""
dandywarhols,"""Dandy Warhols""",,""""""
dangermuffin,"""Danger Muffins""",,""""""
dangers of the sea,"""Dangers of the Sea""",,""""""
danhick,"""Dan Hicks""",,""""""
danhicks,"""Dan Hicks""",,""""""
daniel johnston with the districts & modern baseball,"""Daniel Johnson with The Districts & Modern Baseball""",,""""""
danielle nicole band,"""Danielle Nicole Band""",,""""""
dankojones,"""Danko Jones""",,""""""
dannyburns,"""Danny Burns""",,""""""
dantemuenchen,"""Dante""",FALSE,""""""
danzer,"""Danzer""",,""""""
dap,"""unknown""",,""""""
dariusrucker,"""Darius Rucker""",,""""""
dark star,"""Dark Star Orchestra""",,""""""
dark star orchestra,"""Dark Star Orchestra""",,""""""
darkbuddharising,"""Dark Buddha Rising""",,""""""
darlene love,"""Darlene Love""",,""""""
darlingside,"""Darlingside""",,""""""
darrin,"""unknown""",,""""""
daryl hall & john oates,"""Hall & Oates""",,""""""
dat,"""unknown""",,""""""
daughter,"""Daughter""",,""""""
dave & jimmie,"""Dave & Jimmie""",,""""""
dave holland,"""Dave Holland""",,""""""
dave holland quintet,"""Dave Holland Quintet""",,""""""
dave holland trio,"""Dave Holland Trio""",,""""""
dave mason,"""Dave Mason""",,""""""
davealvin&friends,"""Alvin & Friends""",,""""""
davell crawford,"""Davell Crawford""",,""""""
davemason,"""Dave Mason""",,""""""
davepirner-and-ryansmith,"""Dave Pirner & Ryan Smith""",,""""""
david,"""unknown""",,""""""
david byrne,"""David Byrne""",,""""""
david grisman,"""David Grisman""",,""""""
david johansen,"""David Johansen""",,""""""
david lee roth,"""David Lee Roth""",,""""""
david lindley,"""David Lindley""",,""""""
david.knopfler,"""David Knopfler""",,""""""
david_gans,"""David Gans""",,""""""
davidcrosby,"""David Crosby""",,""""""
davidgrisman,"""David Grisman""",,""""""
davidgrismansextet,"""David Grisman""",FALSE,""""""
davidlanglois,"""David Langlois""",,""""""
davidmccrackenandfriends,"""David McCracken & Friends""",,""""""
davy,"""Davy Knowles""",,""""""
davyknowles,"""Davy Knowles""",,""""""
dawes,"""Dawes""",,""""""
day,"""unknown""",,""""""
db+nf,"""unknown""",,""""""
dbnf,"""unknown""",,""""""
de-sf,"""unknown""",,""""""
dead boys,"""Dead Boys""",,""""""
dead can dance,"""Dead Can Dance""",,""""""
dead cross,"""Dead Cross""",,""""""
dead kennedys,"""Dead Kennedys""",,""""""
deadaffect,"""Dead Affect""",,""""""
deadandco,"""Dead & Company""",,""""""
deadboys,"""Dead Boys""",,""""""
deadco,"""Dead & Company""",,""""""
deadmilkmenfix,"""Dead Milkmen""",FALSE,""""""
deadsoultribe,"""Dead Soul Tribe""",,""""""
deafheaven,"""Deaf Heaven""",,""""""
deanmonkey&thedropouts,"""Dean Monkey & The Dropouts""",,""""""
deantoniparks,"""Deantoni Parks""",,""""""
death angel,"""Death Angel""",,""""""
death from above,"""Death From Above""",,""""""
death valley girls,"""Death Valley Girls""",,""""""
deathvalleygirls,"""Death Valley Girls""",,""""""
dec,"""unknown""",,""""""
dee snider,"""Dee Snider""",,""""""
dee_dee_bridgewater,"""Dee Dee Bridgewater""",,""""""
deeexpus,"""DeeExpus""",,""""""
deep banana blackout,"""Deep Banana Blackout""",,""""""
deep purple,"""Deep Purple""",,""""""
deeppurple,"""Deep Purple""",,""""""
deerhoof,"""Deerhoof""",,""""""
degregori,"""Francesco De Gregori""",,""""""
dejafuze,"""Deja Fuze""",,""""""
del-dawg,"""Del & Dawg""",,""""""
delbertmcclinton,"""Delbert McClinton""",,""""""
deldawg,"""Del & Dawg""",,""""""
delivery,"""Delivery""",,""""""
dellamae,"""Della Me""",,""""""
delmccoury,"""Del McCoury""",,""""""
delta deep phil collen,"""Delta Deep & Phil Collen""",,""""""
delta rae,"""Delta Rae""",,""""""
demi lovato,"""Demi Lovato""",,""""""
demos,"""notband""",,""""""
denguefever,"""Dengue Fever""",,""""""
depeche mode,"""Depeche Mode""",,""""""
depeche_mode,"""Depeche Mode""",,""""""
depechemode,"""Depeche Mode""",,""""""
depedro,"""Depedro""",,""""""
der nino,"""Der Nino""",,""""""
dermot kennedy,"""Dermot Kennedy""",,""""""
desperate journalist,"""Desperate Journalist""",,""""""
detective,"""Detective""",,""""""
detroit,"""Detroit""",,""""""
devil makes three,"""Devil Makes Three""",,""""""
devilmakesthree,"""Devil Makes Three""",,""""""
devonallman,"""Devon Allman""",,""""""
dfa,"""Death From Above""",,""""""
dftm,"""Distinct from the Mind""",,""""""
dg,"""unknown""",,""""""
dgbe,"""unknown""",,""""""
dgjl,"""unknown""",,""""""
dgq,"""unknown""",,""""""
dhakabrakha,"""DakhaBrakha""",,""""""
dharper,"""unknown""",,""""""
dhicks mfp,"""unknown""",FALSE,""""""
dhidalah,"""Dhidalah""",,""""""
dhjo,"""Daniel Hersog Jazz Orchestra""",,""""""
dhol,"""The Dhol & Brass Band""",,""""""
dianereeves,"""Diane Reeves""",,""""""
dich,"""unknown""",,""""""
dick gaughan,"""Dick Gaughan""",,""""""
dick valentine,"""Dick Valentine""",,""""""
diehartjungs,"""Die Harte Jungs""",,""""""
diet cig,"""Diet Cig""",,""""""
different_degrees,"""unknown""",,""""""
digarhythmband,"""Diga Rhythm Band""",,""""""
dillon,"""Dillon""",,""""""
dinojr,"""Dinosaur Jr.""",,""""""
dinosaur jr,"""Dinosaur Jr.""",,""""""
dinosaur_jr,"""Dinosaur Jr.""",,""""""
dinosaurjr,"""Dinosaur Jr.""",,""""""
dio,"""Dio""",,""""""
dire straits,"""Dire Straits""",,""""""
dirkschneiderhanau,"""Dirkschneider""",FALSE,""""""
dirtysoundmagnet,"""Dirty Sound Magnet""",,""""""
disc,"""notband""",,""""""
discobiscuits,"""Disco Biscuits""",,""""""
disctwotrack,"""notband""",,""""""
divine_comedy,"""The Divine Comedy""",,""""""
dixiedregs,"""Dixie Dregs""",,""""""
dizgo,"""DIZGO""",,""""""
dj,"""unknown""",,""""""
django django,"""Django Django""",,""""""
djr,"""unknown""",,""""""
dk,"""Dead Kennedys""",,""""""
dkcols,"""Dead Kennedys""",FALSE,""""""
dl+rc,"""unknown""",,""""""
dl+wi,"""unknown""",,""""""
dls,"""unknown""",,""""""
dm+tr,"""unknown""",,""""""
dmd,"""unknown""",,""""""
dmh lsc,"""unknown""",,""""""
dmo,"""unknown""",,""""""
dnc,"""unknown""",,""""""
docw,"""unknown""",,""""""
dodgy,"""Dodgy""",,""""""
doll skin,"""Doll Skin""",,""""""
donnathebuffalo,"""Donna The Buffalo""",,""""""
donovan,"""Donovan""",,""""""
doobie bros,"""Doobie Brothers""",,""""""
doobie brothers,"""Doobie Brothers""",,""""""
doobiebrothers,"""Doobie Brothers""",,""""""
dookie,"""notband""",,""""""
dopapod,"""Dopapod""",,""""""
dorifreeman,"""Dori Freeman""",,""""""
doris.brendel,"""Doris Brendel""",,""""""
doro,"""Doro""",,""""""
doroka,"""unknown""",,""""""
doyle bramhall ii,"""Doyle Bramhall II""",,""""""
doylebramhallii,"""Doyle Bramhall II""",,""""""
dpu,"""Daniel Paboeuf Unity""",,""""""
dpullen,"""Don Pullen""",,""""""
dr john,"""Dr. John""",,""""""
dr lonnie smith,"""Dr. Lonnie Smith""",,""""""
dr. john,"""Dr. John""",,""""""
dr.john,"""Dr. John""",,""""""
dragondeer,"""Dragondeer""",,""""""
dragonsmoke,"""Dragon Smoke""",,""""""
dragonsmole,"""Dragon Smoke""",,""""""
dream syndicate,"""Dream Syndicate""",,""""""
dreamsyndicate,"""Dream Syndicate""",,""""""
dreamtheater,"""Dream Theater""",,""""""
dri,"""D.R.I.""",,""""""
driftwood,"""Driftwood""",,""""""
drivebytruckers,"""Drive-By Truckers""",,""""""
drivin,"""Drivin N Cryin""",,""""""
drivinncryin,"""Drivin N Cryin""",,""""""
drjohn,"""Dr. John""",,""""""
drkay,"""Dr. Kay & His Interstellar Tone Scientists""",,""""""
drpt,"""unknown""",,""""""
drums,"""notband""",,""""""
dry branch fire squad,"""Dry Branch Fire Squad""",,""""""
duarte-bailey-sipe,"""Duarte, Bailey, & Sipe""",,""""""
dubapocalypse,"""Dubapocalypse""",,""""""
duff mckagan,"""Duff McKagan""",,""""""
dumpstaphunk,"""Dumpstaphunk""",,""""""
dungen,"""Dungen""",,""""""
dw+jl,"""unknown""",,""""""
dweezil zappa,"""Dweezil Zappa""",,""""""
dweezilzappa,"""Dweezil Zappa""",,""""""
dwight yoakam,"""Dwight Yoakam""",,""""""
dwight yoakam band,"""Dwight Yoakam Band""",,""""""
dwightyoakam,"""Dwight Yoakam""",,""""""
dwl,"""Del McCoury Band""",,""""""
dy,"""unknown""",,""""""
dylan,"""Bob Dylan""",,""""""
dylanbm,"""Bob Dylan""",FALSE,""""""
e&b,"""unknown""",,""""""
eagles,"""The Eagles""",,""""""
earls,"""The Earls""",,""""""
early set,"""notband""",,""""""
early show,"""notband""",,""""""
earsight,"""Earsight""",,""""""
earth,"""Earth""",,""""""
earthless,"""Earthless""",,""""""
earthless_denver co,"""Earthless""",FALSE,""""""
earthlingsociety,"""Earthling Society""",,""""""
eastfield,"""Eastfield""",,""""""
easyleaves,"""The Easy Leaves""",,""""""
eatb,"""unknown""",,""""""
ebnb,"""unknown""",,""""""
ec,"""EC""",,""""""
echolynprogday,"""Echolyn""",FALSE,""""""
ecsw,"""unknown""",,""""""
ed sheeran,"""Ed Sheeran""",,""""""
ed&jh,"""unknown""",,""""""
edd,"""The Edd""",,""""""
eddie and the hot rods,"""Eddie & The Hot Rods""",,""""""
edgar broughton,"""Edgar Broughton""",,""""""
edgar winter band,"""Edgar Winter Band""",,""""""
edgarmeyerchristianmcbride,"""Edgar Meyer & Christian McBride""",,""""""
edgarwinter,"""Edgar Winter""",,""""""
edguyffm,"""Ed Guy""",FALSE,""""""
edie brickel & the new bohemians,"""Edie Brickel & The New Bohemians""",,""""""
editors,"""Editors""",,""""""
edsheeran,"""Ed Sheeran""",,""""""
ee,"""Ee""",,""""""
eekamouse,"""Eek-A-Mouse""",,""""""
eels live,"""Eels""",FALSE,""""""
ef,"""Ef""",,""""""
eilenjewell,"""Eilen Jewell""",,""""""
eisbrecherwi,"""Eisbrecher""",FALSE,""""""
ej,"""Eilen Jewell""",,""""""
ek+tsb,"""unknown""",,""""""
elastica,"""Elastica""",,""""""
elbow,"""Elbow""",,""""""
elbuho,"""El Buho""",,""""""
elder,"""Elder""",,""""""
electricbeethoven,"""Electric Beethoven""",,""""""
elephantrevival,"""Elephant Revival""",,""""""
eliza carthy & wayward band,"""Eliza Carthy & The Wayward Band""",,""""""
elizabeth,"""unknown""",,""""""
elizabeth cook,"""Elizabeth Cook""",,""""""
elizabethcook,"""Elizabeth Cook""",,""""""
ella eyre,"""Ella Eyre""",,""""""
ellen andrea wang,"""Ellen Andrea Wang""",,""""""
elliottsmith,"""Elliott Smith""",,""""""
elo,"""Electric Light Orchestra""",,""""""
elohim,"""Elohim""",,""""""
elp,"""Emerson, Lake, & Palmer""",,""""""
elten,"""El Ten Eleven""",,""""""
elton john,"""Elton John""",,""""""
elvin bishop,"""Elvin Bishop""",,""""""
elvin_bishop,"""Elvin Bishop""",,""""""
ema,"""EMA""",,""""""
ema fox,"""Emah Fox""",,""""""
embryo,"""Embryo""",,""""""
embryo+stromsession,"""Embryo""",FALSE,""""""
emily,"""unknown""",,""""""
emily haines and the soft skeleton,"""Emily Haines & The Soft Skeleton""",,""""""
emily remler,"""Emily Remler""",,""""""
emily saliers,"""Emily Sailers""",,""""""
emilybarker,"""Emily Barker""",,""""""
emisunshine,"""EmiSunshine""",,""""""
emmy lou harris & spyboy,"""Emmy Lou Harris & Spyboy""",,""""""
emmylouharris,"""Emmy Lou Harris""",,""""""
encores,"""notband""",,""""""
endlessboogie,"""Endless Boogie""",,""""""
englishbeat,"""The English Beat""",,""""""
ensemble hesperi,"""Ensemble Hesperi""",,""""""
ensemble-ruth_lomon-tr,"""Ruth Lomon""",FALSE,""""""
eodm,"""Eagles of Death Metal""",,""""""
epicakÃ£Â¶ln,"""unknown""",,""""""
epicamuenchen,"""unknown""",,""""""
eric,"""unknown""",,""""""
eric clapton,"""Eric Clapton""",,""""""
eric gales,"""Eric Gales""",,""""""
eric sardinas,"""Eric Sardinas""",,""""""
ericbachmann,"""Eric Bachmann""",,""""""
ericburdon,"""Eric Burdon""",,""""""
erickrasno,"""Eric Krasno""",,""""""
ericlindell,"""Eric Lindell""",,""""""
erikjekabson,"""Erik Jekabson""",,""""""
ernesto bladden,"""Ernesto Bladden""",,""""""
err,"""unknown""",,""""""
es-cw,"""unknown""",,""""""
esben and the witch,"""Esben & The Witch""",,""""""
esmz,"""Edward Sharpe & The Magnetic Zeros""",,""""""
esp,"""Eric Singer Project""",,""""""
etatmb,"""unknown""",,""""""
ethan iverson,"""Ethan Iverson""",,""""""
etown,"""unknown""",,""""""
etta_james,"""Etta James""",,""""""
evan_dando,"""Evan Dando""",,""""""
evanescence,"""Evanescence""",,""""""
everclear,"""Everclear""",,""""""
evergreyffm,"""Evergrey""",FALSE,""""""
everyonesdead,"""unknown""",,""""""
evidence,"""The Evidence""",,""""""
evildead,"""Evildead""",,""""""
evol,"""Evol""",,""""""
ew,"""Edgar Winter""",,""""""
exene cervenka & john doe,"""Exene Cervenka & John Doe""",,""""""
existem,"""Existem""",,""""""
eyehategod,"""Eyehategod""",,""""""
f,"""notband""",,""""""
fabfaux,"""The Fab Faux""",,""""""
fairport convention,"""Fairport Convention""",,""""""
fairport.convention,"""Fairport Convention""",,""""""
faith no more,"""Faith No More""",,""""""
fall,"""The Fall""",,""""""
fantasticnegrito,"""Fantastic Negrito""",,""""""
far,"""Far""",,""""""
farcornerprogday,"""Far Corner""",FALSE,""""""
fastball,"""Fastball""",,""""""
fastway,"""Fastway""",,""""""
fat freddys drop,"""Fat Freddys Drop""",,""""""
fatherjohnmisty,"""Father John Misty""",,""""""
fats,"""unknown""",,""""""
faust,"""Faust""",,""""""
fc ag,"""unknown""",,""""""
fear,"""Fear""",,""""""
feist,"""Feist""",,""""""
felice brothers,"""The Felice Brothers""",,""""""
felicebros,"""The Felice Brothers""",,""""""
felicebrothers,"""The Felice Brothers""",,""""""
fertilehump,"""Fertile Hump""",,""""""
fhbb,"""First Harmonic Brass Band""",,""""""
field music,"""Field Music""",,""""""
field_music,"""Field Music""",,""""""
fields of the nephilim,"""Fields of the Nephellim""",,""""""
fijimariners,"""Fiji Mariners""",,""""""
fink,"""Fink""",,""""""
fionaapple,"""Fiona Apple""",,""""""
fionaapple+sherylcrow,"""Fiona Apple & Sheryl Crow""",,""""""
firewindspeyer,"""Firewind""",FALSE,""""""
first aid kit,"""First Aid Kit""",,""""""
fish,"""Fish""",,""""""
fist,"""Fist""",,""""""
fixx,"""The Fixx""",,""""""
fjm,"""unknown""",,""""""
fl,"""unknown""",,""""""
fla,"""unknown""",,""""""
fleet foxes,"""Fleet Foxes""",,""""""
fleetwood mac,"""Fleetwood Mac""",,""""""
flips,"""The Flips""",,""""""
flowerkingsprogday,"""The Flower Kings""",FALSE,""""""
fmacfin,"""Fleetwood Mac""",FALSE,""""""
fmachanger,"""Fleetwood Mac""",FALSE,""""""
fnm,"""Faith No More""",,""""""
focus,"""Focus""",,""""""
focusprogday,"""Focus""",FALSE,""""""
fof,"""unknown""",,""""""
foo fighters,"""Foo Fighters""",,""""""
foofighters,"""Foo Fighters""",,""""""
"ford, robben","""Robben Ford""",,""""""
forever pavot,"""Forever Pavot""",,""""""
forq,"""Forq""",,""""""
fortunate youth,"""Fortunate Youth""",,""""""
foundationoffunk,"""Foundation of Funk""",,""""""
foxing,"""Foxing""",,""""""
foxtollingdenson,"""Fox, Tolling, & Denson""",,""""""
frampton,"""Peter Frampton""",,""""""
france,"""France""",,""""""
franck carducci band,"""Franck Carducci Band""",,""""""
francobollo,"""Francobollo""",,""""""
frank harrison group,"""Frank Harrison Group""",,""""""
frankblack,"""Frank Black""",,""""""
frankfamilyzydeco,"""Preston Frank & The Family Zydeco Band""",,""""""
frankfurt,"""notband""",,""""""
franksolivan,"""Frank Solivan""",,""""""
franz ferdinand,"""Franz Ferdinand""",,""""""
franzferdinand,"""Franz Ferdinand""",,""""""
free,"""Free""",,""""""
freedead,"""unknown""",,""""""
freedomcallsb,"""Freedom Call""",FALSE,""""""
freekbass,"""Freekbass""",,""""""
frequency drift,"""Frequency Drift""",,""""""
front,"""notband""",,""""""
frost,"""Frost*""",,""""""
fruition,"""Fruition""",,""""""
frumpy,"""Frumpy""",,""""""
frÃ£Â¤ulein hona,"""Fräulein Hona""",,""""""
ftb,"""unknown""",,""""""
ftw,"""The FTW""",,""""""
funky,"""unknown""",,""""""
funkydawgz,"""Funky Dawgs Brass Band""",,""""""
funkymeters,"""Funky Meters""",,""""""
fuse one - tokyo,"""Fuse""",FALSE,""""""
future,"""Future""",,""""""
future islands,"""Future Islands""",,""""""
fz,"""unknown""",,""""""
g&g,"""unknown""",,""""""
g-grass,"""Garrett Grass Gospel Hour""",,""""""
g-lp,"""unknown""",,""""""
g.mule,"""incorrect""",,""""""
gab,"""unknown""",,""""""
"gabriel, peter","""Peter Gabriel""",,""""""
gabriel_ peter,"""Peter Gabriel""",,""""""
gabrielle aplin,"""Gabrielle Aplin""",,""""""
gael faye,"""Gaël Faye""",,""""""
gaf,"""GAF""",,""""""
galactic,"""Galactic""",,""""""
galaxie,"""Galaxie""",,""""""
galay bustos,"""Galay Bustos""",,""""""
gallatincanyon,"""Gallatin Canyon""",,""""""
gallen,"""unknown""",,""""""
gallman,"""unknown""",,""""""
gang of four,"""Gang of Four""",,""""""
gang war,"""Gang War""",,""""""
garbage,"""Garbage""",,""""""
"garner, sue","""Sue Garner""",,""""""
garrettgospelgrass,"""Garrett Grass Gospel Hour""",,""""""
gary clark jr,"""Gary Clark, Jr.""",,""""""
garybackstrom,"""Gary Backstrom""",,""""""
garyhoey,"""Gary Hoey""",,""""""
gatemouth,"""Clarence Gatemouth Brown""",,""""""
gatewaytrio,"""Gateway Trio""",,""""""
gcj,"""Gary Clark, Jr.""",,""""""
geir lysne,"""Geir Lysne""",,""""""
gemma ray,"""Gemma Ray""",,""""""
gen,"""unknown""",,""""""
generationals,"""Generationals""",,""""""
genesis,"""Genesis""",,""""""
genetics,"""Genetics""",,""""""
gentlemans circle,"""unknown""",,""""""
georg danzer,"""Georg Danzer""",,""""""
george michael,"""George Michael""",,""""""
georgethorogood,"""George Thorogood""",,""""""
get well soon,"""Get Well Soon""",,""""""
gf,"""Gene Farrow""",,""""""
gfr,"""Grand Funk Railroad""",,""""""
ggg,"""unknown""",,""""""
gh_far east,"""unknown""",,""""""
ghost_scorpion,"""Beware the Dangers of a Ghost Scorpion""",,""""""
gibsonbrothers,"""The Gibson Brothers""",,""""""
gid,"""Gid Tanner""",,""""""
gift,"""Gift""",,""""""
gift_forove move me,"""Gift""",FALSE,""""""
gilbyclarke,"""Gilby Clarke""",,""""""
gillian welch and dave rawlings,"""Gillian Welch & Dave Rawlings""",,""""""
gillianwelch,"""Gillian Welch""",,""""""
ginblossoms,"""Gin Blossoms""",,""""""
girija_devi,"""Girija Devi""",,""""""
girls in hawaii,"""Girls in Hawaii""",,""""""
girlschool,"""Girlschool""",,""""""
glasgow,"""Glasgow""",,""""""
glasgow_gathering_d,"""Glasgow""",FALSE,""""""
glasgowcomascale,"""Glasgow Coma Scale""",,""""""
glen campbell with victoria ghost,"""Glen Campbell with Victoria Ghost""",,""""""
glen hansard,"""Glen Hansard""",,""""""
glenn hughes,"""Glenn Hughes""",,""""""
glennhughes,"""Glenn Hughes""",,""""""
glennphillipsbandprogday,"""Glenn Phillips Band""",FALSE,""""""
"glove,jack,&donavon","""Glove, Jack, & Donavon""",,""""""
glr,"""G.L.R.""",,""""""
gls,"""unknown""",,""""""
gnod,"""Gnod""",,""""""
gnr,"""Guns 'n' Roses""",,""""""
go-go's,"""The Go-Go's""",,""""""
goat girl,"""Goat Girl""",,""""""
godfathers,"""The Godfathers""",,""""""
godfathers razzmatazz,"""The Godfathers""",FALSE,""""""
gohlss,"""unknown""",,""""""
golden earring,"""Golden Earring""",,""""""
golden grass,"""Golden Grass""",,""""""
gong,"""Gong""",,""""""
goo goo dolls,"""Goo Goo Dolls""",,""""""
good rockin dopsie,"""Rockin' Dopsie""",,""""""
gor,"""unknown""",,""""""
gorddownie,"""Gord Downie""",,""""""
gordon lightfoot,"""Gordon Lightfoot""",,""""""
gordonstonetrio,"""Gordon Stone Trio""",,""""""
gorillaz,"""Gorillaz""",,""""""
gozoyoshimasu&kukangendai,"""Gozo Yoshimasu & Kukangendai""",,""""""
gp,"""unknown""",,""""""
gpgds,"""Giant Panda Guerilla Dub Squad""",,""""""
gr,"""unknown""",,""""""
graceful,"""Graceful""",,""""""
grandfunk-hamburg,"""Grand Funk Railroad""",FALSE,""""""
grant hart,"""Grant Hart""",,""""""
grant lee phillips,"""Grant-Lee Phillips""",,""""""
granthart,"""Grant Hart""",,""""""
grass,"""Grass""",,""""""
grateful,"""incorrect""",,""""""
grateful dead,"""incorrect""",,""""""
gratefuldead,"""incorrect""",,""""""
grausametoechterffm,"""Grausame Töchter""",,""""""
graysoncapps,"""Grayson Capps""",,""""""
grdead,"""incorrect""",,""""""
greatguitars,"""Great Guitars""",,""""""
greatlakeswimmers,"""Great Lake Swimmers""",,""""""
green day,"""Green Day""",,""""""
green ray,"""Green Ray""",,""""""
greenday,"""Green Day""",,""""""
greenflames,"""Green Flames""",,""""""
greenisbeautiful,"""notband""",,""""""
greensky,"""Greensky Bluegrass""",,""""""
greg kihn,"""Greg Kihn""",,""""""
gregluttrell,"""Greg Lutrell""",,""""""
gretchen parlato,"""Gretchen Parlato""",,""""""
greyboyallstars,"""The Greyboy Allstars""",,""""""
grinspoon,"""Grinspoon""",,""""""
grisman mccoury,"""David Grisman & Del McCoury""",,""""""
grizzly bear,"""Grizzly Bear""",,""""""
grndtn,"""unknown""",,""""""
groundhog,"""Groundhog""",,""""""
grusom,"""GRUSOM""",,""""""
gryphon,"""Gryphon""",,""""""
gsol,"""Gsol""",,""""""
guapo,"""Guapo""",,""""""
gueststar,"""notband""",,""""""
guillermoklein,"""Guillermo Klein""",,""""""
gun brighton centre,"""Gun""",FALSE,""""""
guns n roses,"""Guns 'n' Roses""",,""""""
gurevich,"""Gurevich""",,""""""
gurge,"""Gurge""",,""""""
gvf,"""Greta Van Fleet""",,""""""
gw_dr,"""unknown""",,""""""
gwbotlinny,"""unknown""",,""""""
gwhocnetor,"""unknown""",,""""""
gwlaurmd,"""unknown""",,""""""
gwwhwashdc,"""unknown""",,""""""
gwwin,"""unknown""",,""""""
gypsy,"""Gypsy""",,""""""
gypsy kings,"""Gypsy Kings""",,""""""
haas in vain,"""Georg Friedrich Haas""",FALSE,""""""
habibkoite,"""Habib Koite""",,""""""
hackett,"""Steve Hackett""",,""""""
hail,"""Hail!""",,""""""
haim,"""Haim""",,""""""
haldern pop,"""notband""",,""""""
halem,"""HALEM""",,""""""
haleyjane,"""Hayley Jane""",,""""""
half.waif,"""Half Waif""",,""""""
hallyday,"""unknown""",,""""""
halma,"""Halma""",,""""""
hamburg blues band,"""Hamburg Blues Band""",,""""""
hammerfallka,"""HammerFall""",FALSE,""""""
handel-haydn_society,"""Handel-Haydn Society""",,""""""
handel-haydnsociety,"""Handel-Haydn Society""",,""""""
hanging stars,"""Hanging Stars""",,""""""
hannahpeel,"""Hannah Peel""",,""""""
hannes.wader,"""Hannes Wader""",,""""""
hannigan_miz,"""Lisa Hannigan & MiZ""",,""""""
hans.theessink+terry.evans,"""Hans Thessink & Terry Evans""",,""""""
happy mondays,"""Happy Mondays""",,""""""
harding,"""unknown""",,""""""
"hargrove, roy","""Roy Hargrove""",,""""""
